<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.08	20:00:00	0.66389	0.66509	0.66254	0.66414	11447	9406042000	21
2015.12.09	00:00:00	0.66297	0.66588	0.66297	0.66350	12224	7840600000	21
2015.12.09	04:00:00	0.66350	0.66352	0.66213	0.66268	12929	7753400000	21
2015.12.09	08:00:00	0.66267	0.66438	0.65932	0.66079	17028	13523459000	21
2015.12.09	12:00:00	0.66078	0.66561	0.66029	0.66420	20147	16438022000	21
2015.12.09	16:00:00	0.66420	0.66620	0.66182	0.66337	30121	23459010000	21
2015.12.09	20:00:00	0.66337	0.67585	0.65744	0.67192	21385	17749273000	21
2015.12.10	00:00:00	0.67082	0.67811	0.67078	0.67391	21461	13734842000	0
2015.12.10	04:00:00	0.67392	0.67400	0.67259	0.67300	20328	13016642000	21
2015.12.10	08:00:00	0.67301	0.67553	0.67210	0.67211	22419	14629727000	21
2015.12.10	12:00:00	0.67212	0.67665	0.67184	0.67623	20852	15655082000	21
2015.12.10	16:00:00	0.67623	0.67752	0.67511	0.67636	22559	18379219000	21
2015.12.10	20:00:00	0.67643	0.67668	0.67370	0.67520	18657	12218293000	21
2015.12.11	00:00:00	0.67460	0.67612	0.67336	0.67400	14773	10307304000	21
2015.12.11	04:00:00	0.67400	0.67475	0.67365	0.67432	13882	7431550000	21
2015.12.11	08:00:00	0.67431	0.67807	0.67395	0.67418	16372	9405846000	21
2015.12.11	12:00:00	0.67418	0.67499	0.67214	0.67362	18290	12463186000	21
2015.12.11	16:00:00	0.67363	0.67397	0.67021	0.67087	23691	16541493000	21
2015.12.11	20:00:00	0.67089	0.67227	0.67049	0.67132	11457	8770900000	21
2015.12.14	00:00:00	0.67034	0.67187	0.66950	0.67004	12625	7979475000	21
2015.12.14	04:00:00	0.67005	0.67095	0.66903	0.67065	15902	8919550000	21
2015.12.14	08:00:00	0.67065	0.67270	0.67028	0.67252	16333	11552450000	21
2015.12.14	12:00:00	0.67252	0.67665	0.67190	0.67628	19148	12141966000	21
2015.12.14	16:00:00	0.67629	0.67891	0.67410	0.67780	23837	14817954000	21
2015.12.14	20:00:00	0.67781	0.67784	0.67539	0.67551	14602	11554213000	21
2015.12.15	00:00:00	0.67551	0.67949	0.67508	0.67893	20363	15792631000	0
2015.12.15	04:00:00	0.67892	0.68098	0.67834	0.68008	15397	7845700000	21
2015.12.15	08:00:00	0.68008	0.68247	0.67866	0.67897	20847	13251070000	21
2015.12.15	12:00:00	0.67897	0.68059	0.67707	0.67819	21843	16552350000	21
2015.12.15	16:00:00	0.67819	0.67819	0.67399	0.67448	24064	15931340000	21
2015.12.15	20:00:00	0.67448	0.67767	0.67428	0.67632	13850	8214897000	21
2015.12.16	00:00:00	0.67616	0.67762	0.67394	0.67453	14808	10026740000	21
2015.12.16	04:00:00	0.67452	0.67683	0.67452	0.67617	13343	8378900000	21
2015.12.16	08:00:00	0.67612	0.67650	0.67407	0.67474	20463	15538082000	21
2015.12.16	12:00:00	0.67474	0.67537	0.67380	0.67456	20573	10874150000	21
2015.12.16	16:00:00	0.67456	0.67746	0.67438	0.67730	23648	16694838000	21
2015.12.16	20:00:00	0.67732	0.68338	0.67132	0.67950	32480	21776816000	21
2015.12.17	00:00:00	0.67876	0.67995	0.67301	0.67321	17377	10150028000	21
2015.12.17	04:00:00	0.67322	0.67445	0.67161	0.67268	18177	9069300000	21
2015.12.17	08:00:00	0.67269	0.67566	0.67221	0.67482	19830	12449450000	19
2015.12.17	12:00:00	0.67481	0.67686	0.67311	0.67455	17271	11200635000	21
2015.12.17	16:00:00	0.67455	0.67515	0.66871	0.67034	25991	17255454000	21
2015.12.17	20:00:00	0.67034	0.67093	0.66884	0.66995	17277	10902200000	21
2015.12.18	00:00:00	0.66944	0.67051	0.66842	0.67001	16392	11223391000	0
2015.12.18	04:00:00	0.67004	0.67049	0.66802	0.67023	22639	11618450000	21
2015.12.18	08:00:00	0.67021	0.67158	0.66921	0.67027	21283	12750583000	21
