<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	1.10749	1.12495	1.09630	1.09893	1572648	0	1
2019.09.01	1.09899	1.11094	1.08846	1.08991	1090978	0	1
2019.10.01	1.08991	1.11793	1.08790	1.11514	999970	0	1
2019.11.01	1.11514	1.11753	1.09810	1.10152	655523	0	1
2019.12.01	1.10241	1.12392	1.10029	1.12171	674381	0	1
2020.01.01	1.12132	1.12143	1.09922	1.10943	707187	0	1
2020.02.01	1.10907	1.10927	1.07775	1.10293	842947	0	1
2020.03.01	1.10407	1.14964	1.06355	1.10349	3374436	0	0
2020.04.01	1.10299	1.10390	1.07269	1.09507	2080643	0	0
2020.05.01	1.09485	1.11450	1.07664	1.11076	1119922	0	0
2020.06.01	1.11150	1.14222	1.11003	1.12336	1540638	0	0
2020.07.01	1.12340	1.19086	1.11847	1.17713	1173709	0	0
2020.08.01	1.17697	1.19660	1.16957	1.19361	1118201	0	0
2020.09.01	1.19358	1.20108	1.16122	1.17210	1109353	0	0
2020.10.01	1.17210	1.18806	1.16398	1.16462	982834	0	0
2020.11.01	1.16468	1.20034	1.16019	1.19256	1219418	0	0
2020.12.01	1.19261	1.23099	1.19253	1.22155	1546421	0	0
2021.01.01	1.22395	1.23494	1.20536	1.21353	1468046	0	0
2021.02.01	1.21301	1.22432	1.19522	1.20727	1310905	0	0
2021.03.01	1.20688	1.21132	1.17041	1.17298	1736292	0	0
2021.04.01	1.17298	1.21502	1.17124	1.20208	1040524	0	0
2021.05.01	1.20301	1.22664	1.19860	1.22250	1144726	0	0
2021.06.01	1.22254	1.22543	1.18452	1.18560	1351314	0	0
2021.07.01	1.18559	1.19087	1.17519	1.18730	1459063	0	0
2021.08.01	1.18641	1.18997	1.16640	1.18083	1009495	0	0
2021.09.01	1.18078	1.19091	1.15626	1.15769	1268195	0	0
2021.10.01	1.15740	1.16920	1.15242	1.15620	1298408	0	0
2021.11.01	1.15626	1.16162	1.11861	1.13380	1601917	0	0
2021.12.01	1.13350	1.13861	1.12217	1.13755	1368067	0	0
2022.01.01	1.13693	1.14829	1.11214	1.12333	1289073	0	0
2022.02.01	1.12315	1.14950	1.11063	1.12178	1835794	0	0
2022.03.01	1.12177	1.12331	1.08060	1.10665	2525122	0	0
2022.04.01	1.10656	1.10757	1.04709	1.05460	1906482	0	0
2022.05.01	1.05421	1.07869	1.03494	1.07326	2269465	0	0
2022.06.01	1.07320	1.07739	1.03591	1.04827	2494719	0	0
2022.07.01	1.04826	1.04854	0.99522	1.02258	2792153	0	0
2022.08.01	1.02075	1.03688	0.99004	1.00545	2560915	0	0
2022.09.01	1.00510	1.01979	0.95357	0.97990	2878666	0	0
2022.10.01	0.97747	1.00933	0.96314	0.98827	3218906	0	0
2022.11.01	0.98827	1.04969	0.97302	1.04055	2996546	0	0
2022.12.01	1.04080	1.07363	1.03930	1.06976	2412294	0	0
2023.01.01	1.07016	1.09294	1.04832	1.08614	2266204	0	0
2023.02.01	1.08607	1.10329	1.05330	1.05741	1899269	0	0
2023.03.01	1.05751	1.09299	1.05160	1.08429	2301680	0	0
2023.04.01	1.08398	1.10956	1.07882	1.10163	1218243	0	0
2023.05.01	1.10119	1.10918	1.06353	1.06885	1448202	0	0
2023.06.01	1.06872	1.10122	1.06619	1.09092	1351321	0	0
2023.07.01	1.09090	1.12758	1.08336	1.09964	1404226	0	0
2023.08.01	1.09966	1.10653	1.07656	1.08427	1705707	0	0
2023.09.01	1.08428	1.08818	1.04881	1.05735	1410406	0	0
2023.10.01	1.05651	1.06947	1.04480	1.05752	1641027	0	0
2023.11.01	1.05769	1.10169	1.05166	1.08866	1148913	0	0
2023.12.01	1.08845	1.11396	1.07235	1.10360	2345850	0	0
2024.01.01	1.10437	1.10451	1.07945	1.08174	4627233	0	0
2024.02.01	1.08173	1.08976	1.06945	1.08038	2922218	0	0
2024.03.01	1.08045	1.09813	1.07678	1.07917	1442560	0	0
2024.04.01	1.07870	1.08850	1.06011	1.06655	909763	0	0
2024.05.01	1.06650	1.08949	1.06494	1.08474	709103	0	0
2024.06.01	1.08500	1.09160	1.06659	1.07116	715912	0	0
2024.07.01	1.07450	1.09480	1.07120	1.08247	793463	0	0
2024.08.01	1.08238	1.12014	1.07773	1.10465	874519	0	0
2024.09.01	1.10461	1.12140	1.10018	1.11341	813041	0	0
2024.10.01	1.11334	1.11439	1.07611	1.08817	788735	0	0
2024.11.01	1.08817	1.09369	1.03313	1.05755	930302	0	0
2024.12.01	1.05700	1.06296	1.03428	1.03493	848615	0	0
2025.01.01	1.03515	1.05330	1.01772	1.03640	968773	0	0
2025.02.01	1.02509	1.05286	1.02111	1.03743	978800	0	0
2025.03.01	1.04025	1.09546	1.03885	1.08139	1409427	0	0
2025.04.01	1.08130	1.15727	1.07779	1.13265	2347165	0	0
2025.05.01	1.13259	1.14181	1.10650	1.13457	1638309	0	0
2025.06.01	1.13460	1.17881	1.13398	1.17862	1485171	0	0
2025.07.01	1.17849	1.18293	1.14002	1.14136	1265286	0	0
2025.08.01	1.14119	1.17420	1.13910	1.16825	1107067	0	0
2025.09.01	1.16943	1.19185	1.16077	1.17330	1104375	0	0
2025.10.01	1.17339	1.17789	1.15211	1.15361	1146261	0	0
2025.11.01	1.15291	1.16564	1.14688	1.15983	1029924	0	0
2025.12.01	1.15891	1.18077	1.15891	1.17455	1196061	0	0
2026.01.01	1.17486	1.17648	1.17131	1.17197	64850	0	0
