<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.03.13	1251.44	1270.84	1225.60	1255.04	532526	374761468	24
2016.03.20	1254.55	1260.12	1211.95	1217.12	337857	243474395	22
2016.03.27	1214.30	1243.99	1208.15	1222.16	368695	263523552	24
2016.04.03	1220.30	1243.19	1214.56	1240.49	388525	281234603	24
2016.04.10	1244.78	1262.54	1223.77	1233.73	417384	310579775	24
2016.04.17	1234.66	1270.19	1227.32	1232.73	446624	315743666	14
2016.04.24	1232.22	1296.62	1229.94	1293.68	408894	329309900	15
2016.05.01	1292.65	1303.65	1268.79	1288.80	498747	394814571	20
2016.05.08	1284.19	1287.46	1256.78	1273.30	460254	351451764	19
2016.05.15	1272.72	1288.62	1243.66	1251.91	473858	370666616	24
2016.05.22	1250.34	1255.94	1206.67	1211.64	416705	330050260	17
2016.05.29	1212.93	1244.59	1199.62	1244.51	395223	308018158	24
2016.06.05	1244.00	1278.09	1234.72	1274.07	389039	306372287	21
2016.06.12	1274.69	1315.54	1272.35	1298.55	480688	363871129	24
2016.06.19	1286.09	1358.25	1250.34	1315.67	551181	371780712	24
2016.06.26	1326.11	1344.49	1305.40	1342.28	828541	452765986	24
2016.07.03	1339.61	1375.05	1335.17	1364.93	763793	492630009	24
2016.07.10	1368.43	1374.83	1320.08	1338.29	912812	542920863	24
2016.07.17	1334.11	1338.25	1310.77	1322.39	714956	488871037	24
2016.07.24	1321.77	1354.90	1312.25	1351.11	632779	439498077	24
2016.07.31	1350.61	1367.21	1334.61	1336.87	590634	415555116	24
2016.08.07	1332.89	1357.11	1329.77	1336.58	588923	420356329	0
2016.08.14	1337.13	1357.94	1335.57	1340.92	546377	479165356	23
2016.08.21	1338.34	1344.58	1317.93	1321.85	551238	492949349	24
2016.08.28	1319.53	1329.99	1302.41	1324.80	520768	427817552	0
2016.09.04	1324.73	1352.51	1321.68	1327.83	471689	407812777	19
2016.09.11	1328.49	1331.88	1306.14	1309.66	577949	444499994	24
2016.09.18	1309.83	1343.55	1307.78	1338.72	450633	363147305	24
2016.09.25	1336.59	1342.02	1313.13	1315.89	584093	382776424	24
2016.10.02	1317.19	1319.52	1241.30	1256.54	593536	345603156	0
2016.10.09	1257.40	1264.85	1246.03	1250.43	498613	379384786	21
2016.10.16	1251.17	1274.52	1250.03	1266.79	474518	322254597	20
2016.10.23	1265.89	1284.07	1260.28	1275.71	464157	315343489	22
2016.10.30	1277.21	1307.96	1271.11	1304.27	556767	351082989	24
2016.11.06	1292.27	1337.16	1219.03	1227.24	961261	516469987	24
2016.11.13	1228.97	1232.96	1202.74	1208.51	783743	399318506	24
2016.11.20	1207.44	1220.95	1170.11	1183.71	551214	269245840	24
2016.11.27	1185.72	1197.53	1160.63	1176.87	743138	452288071	24
2016.12.04	1185.41	1187.93	1156.16	1158.35	655147	362187725	24
2016.12.11	1158.46	1165.72	1122.62	1134.65	624778	340688331	22
2016.12.18	1135.79	1142.24	1125.67	1133.39	375435	212866481	20
2016.12.25	1134.39	1163.15	1131.58	1152.12	277004	153866267	0
2017.01.01	1151.67	1184.94	1145.95	1172.59	544229	351085702	22
2017.01.08	1172.87	1206.88	1172.38	1197.33	663337	507642347	15
2017.01.15	1198.74	1218.77	1195.79	1209.94	636812	512491379	19
2017.01.22	1210.98	1219.40	1180.48	1191.49	593007	493553694	18
2017.01.29	1192.87	1225.21	1188.20	1219.95	788705	632277588	24
2017.02.05	1222.26	1244.64	1219.11	1233.68	697761	618634991	20
2017.02.12	1230.76	1243.71	1216.64	1234.83	540475	465957029	24
2017.02.19	1235.66	1260.05	1226.04	1256.98	428396	337387378	24
2017.02.26	1256.22	1263.79	1222.84	1234.42	489635	328915969	24
2017.03.05	1233.17	1236.76	1194.91	1204.43	421068	277963329	24
2017.03.12	1206.11	1233.67	1197.23	1229.25	372535	236753662	24
2017.03.19	1230.53	1253.22	1226.82	1245.57	387704	230214977	24
2017.03.26	1248.09	1260.97	1239.61	1248.96	378447	223840132	24
2017.04.02	1247.94	1270.83	1243.65	1254.30	416654	224929101	6
2017.04.09	1254.60	1288.54	1247.08	1287.44	339010	192967294	24
2017.04.16	1291.28	1295.45	1273.98	1284.29	395363	218448506	24
