<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	00:00:00	0.72255	0.72660	0.72216	0.72578	17045	18088848000	9
2015.12.01	04:00:00	0.72575	0.72836	0.72515	0.72575	19437	22446550000	9
2015.12.01	08:00:00	0.72575	0.72988	0.72538	0.72868	23652	29258606000	9
2015.12.01	12:00:00	0.72868	0.72954	0.72768	0.72829	22914	28075343000	9
2015.12.01	16:00:00	0.72829	0.73228	0.72821	0.73167	30356	40492164000	9
2015.12.01	20:00:00	0.73167	0.73356	0.73139	0.73230	15400	19492883000	9
2015.12.02	00:00:00	0.73200	0.73429	0.73066	0.73140	16587	17346800000	0
2015.12.02	04:00:00	0.73140	0.73194	0.73046	0.73078	15343	17837100000	9
2015.12.02	08:00:00	0.73078	0.73336	0.73039	0.73298	21495	25853884000	9
2015.12.02	12:00:00	0.73296	0.73350	0.73078	0.73147	23168	27960308000	9
2015.12.02	16:00:00	0.73147	0.73316	0.72926	0.73059	31500	36623641000	9
2015.12.02	20:00:00	0.73064	0.73138	0.72988	0.73089	18180	22741340000	9
2015.12.03	00:00:00	0.73075	0.73108	0.72837	0.72951	17244	16960600000	0
2015.12.03	04:00:00	0.72951	0.73211	0.72931	0.73191	17723	25062638000	9
2015.12.03	08:00:00	0.73192	0.73268	0.73095	0.73236	21561	24945390000	9
2015.12.03	12:00:00	0.73236	0.73495	0.73179	0.73433	32344	37179701000	9
2015.12.03	16:00:00	0.73432	0.73459	0.72888	0.73330	35741	40990791000	9
2015.12.03	20:00:00	0.73329	0.73625	0.73309	0.73399	20096	23241704000	9
2015.12.04	00:00:00	0.73421	0.73480	0.73211	0.73300	18460	20291345000	9
2015.12.04	04:00:00	0.73300	0.73356	0.73126	0.73180	13329	16113179000	9
2015.12.04	08:00:00	0.73181	0.73332	0.73121	0.73208	22475	26614552000	9
2015.12.04	12:00:00	0.73208	0.73318	0.72791	0.73276	27124	29842712000	9
2015.12.04	16:00:00	0.73276	0.73849	0.73228	0.73419	39550	49132592000	9
2015.12.04	20:00:00	0.73416	0.73448	0.73351	0.73363	11666	13320275000	9
2015.12.07	00:00:00	0.73384	0.73421	0.73215	0.73338	16422	19458469000	9
2015.12.07	04:00:00	0.73338	0.73389	0.73225	0.73284	14205	17906505000	9
2015.12.07	08:00:00	0.73284	0.73357	0.72955	0.73003	15727	19484342000	9
2015.12.07	12:00:00	0.73000	0.73053	0.72706	0.72785	21899	30525422000	9
2015.12.07	16:00:00	0.72786	0.72837	0.72562	0.72655	27515	37358441000	9
2015.12.07	20:00:00	0.72655	0.72715	0.72605	0.72671	16276	18046745000	9
2015.12.08	00:00:00	0.72650	0.72700	0.72489	0.72653	14193	14459928000	0
2015.12.08	04:00:00	0.72654	0.72663	0.72191	0.72251	15402	19069848000	9
2015.12.08	08:00:00	0.72251	0.72441	0.72000	0.72107	21559	26067313000	9
2015.12.08	12:00:00	0.72108	0.72206	0.71862	0.71916	24949	33878153000	9
2015.12.08	16:00:00	0.71914	0.72288	0.71897	0.72151	27723	40594626000	9
2015.12.08	20:00:00	0.72151	0.72172	0.72012	0.72156	14403	19682510000	9
2015.12.09	00:00:00	0.72114	0.72364	0.72114	0.72277	15176	14429559000	0
2015.12.09	04:00:00	0.72277	0.72280	0.72079	0.72156	15172	17425340000	9
2015.12.09	08:00:00	0.72156	0.72330	0.71717	0.71827	19100	21707884000	9
2015.12.09	12:00:00	0.71827	0.72309	0.71797	0.72206	21653	27079855000	9
2015.12.09	16:00:00	0.72207	0.72448	0.71889	0.72009	29474	34865707000	9
2015.12.09	20:00:00	0.72007	0.72419	0.71993	0.72296	22566	25206400000	9
2015.12.10	00:00:00	0.72276	0.73340	0.72212	0.73003	26052	23098215000	9
2015.12.10	04:00:00	0.73003	0.73009	0.72832	0.72854	14278	14725199000	9
2015.12.10	08:00:00	0.72856	0.73005	0.72740	0.72856	20339	21469833000	9
2015.12.10	12:00:00	0.72855	0.73108	0.72806	0.72996	21487	23296499000	9
2015.12.10	16:00:00	0.72997	0.73124	0.72911	0.72977	21755	24038718000	9
2015.12.10	20:00:00	0.72983	0.72985	0.72732	0.72803	12519	14403099000	9
2015.12.11	00:00:00	0.72801	0.72814	0.72505	0.72539	11413	8681111000	0
2015.12.11	04:00:00	0.72540	0.72578	0.72354	0.72436	10839	11051360000	9
2015.12.11	08:00:00	0.72437	0.72633	0.72230	0.72237	15679	14953324000	9
2015.12.11	12:00:00	0.72237	0.72277	0.72071	0.72149	18782	18699669000	9
2015.12.11	16:00:00	0.72148	0.72202	0.71866	0.71908	25701	26654076000	9
2015.12.11	20:00:00	0.71908	0.72015	0.71836	0.71836	13219	14361950000	9
