<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.07.08	0.72243	0.73056	0.72109	0.73018	94245	114958803000	0
2016.07.11	0.72901	0.73033	0.72150	0.72181	74779	92479648000	21
2016.07.12	0.72165	0.73238	0.72096	0.72991	106388	126689294000	21
2016.07.13	0.72938	0.73164	0.72373	0.72733	109715	140165199000	0
2016.07.14	0.72718	0.72932	0.71740	0.71963	119651	150911437000	0
2016.07.15	0.71946	0.72007	0.71059	0.71084	106572	158941224000	21
2016.07.18	0.71351	0.71530	0.70676	0.71146	84976	123395536000	0
2016.07.19	0.71125	0.71142	0.70092	0.70502	85986	124216584000	0
2016.07.20	0.70506	0.70669	0.70146	0.70226	80143	125722587000	0
2016.07.21	0.69870	0.70214	0.69506	0.69933	96360	154193982000	0
2016.07.22	0.69926	0.70154	0.69729	0.69983	80914	94055272000	0
2016.07.25	0.69914	0.70151	0.69555	0.69953	75264	83766999000	21
2016.07.26	0.69936	0.70850	0.69826	0.70516	77706	93431207000	0
2016.07.27	0.70502	0.70845	0.70032	0.70761	95943	116294875000	0
2016.07.28	0.70716	0.71204	0.70613	0.70721	82520	101205432000	0
2016.07.29	0.70653	0.72280	0.70571	0.72078	89959	102032513000	0
2016.08.01	0.71998	0.72287	0.71659	0.71720	68301	66988786000	0
2016.08.02	0.71674	0.72555	0.71558	0.72404	101305	101492614000	0
2016.08.03	0.72341	0.72449	0.71398	0.71557	92148	101221692000	21
2016.08.04	0.71556	0.71998	0.71455	0.71692	97151	99068483000	21
2016.08.05	0.71706	0.72182	0.71206	0.71362	89111	90516421000	21
2016.08.08	0.71318	0.71433	0.70860	0.71365	71444	76269258000	19
2016.08.09	0.71351	0.71790	0.71096	0.71626	77367	82283619000	0
2016.08.10	0.71626	0.72638	0.71569	0.71828	95227	100095305000	0
2016.08.11	0.71826	0.73422	0.71747	0.72059	97021	112108930000	0
2016.08.12	0.72067	0.72535	0.71844	0.71939	95902	116907952000	0
2016.08.15	0.71820	0.72255	0.71637	0.72072	66563	77857372000	0
