<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	105.519	106.107	104.023	104.667	864026	0	0
2020.11.01	104.488	105.676	103.175	104.315	1035886	0	0
2020.12.01	104.306	104.751	102.875	103.253	1363051	0	0
2021.01.01	103.121	104.940	102.591	104.723	1188932	0	0
2021.02.01	104.765	106.695	104.408	106.552	1013390	0	0
2021.03.01	106.476	110.966	106.365	110.708	1429349	0	0
2021.04.01	110.703	110.847	107.477	109.329	980691	0	0
2021.05.01	109.261	110.200	108.338	109.556	1016080	0	0
2021.06.01	109.557	111.121	109.186	111.101	1311612	0	0
2021.07.01	111.101	111.659	109.065	109.656	1394714	0	0
2021.08.01	109.624	110.800	108.721	110.007	1045286	0	0
2021.09.01	109.991	112.081	109.113	111.293	1269901	0	0
2021.10.01	111.242	114.698	110.821	113.961	1442217	0	0
2021.11.01	114.102	115.520	112.530	113.160	1830770	0	0
2021.12.01	113.140	115.206	112.555	115.088	1672361	0	0
2022.01.01	115.058	116.349	113.469	115.118	1468537	0	0
2022.02.01	115.091	116.342	114.153	114.969	1962357	0	0
2022.03.01	114.944	125.100	114.649	121.695	2366422	0	0
2022.04.01	121.669	131.251	121.601	129.863	2605611	0	0
2022.05.01	129.726	131.348	126.359	128.647	3096867	0	0
2022.06.01	128.625	137.006	128.621	135.726	3949883	0	0
2022.07.01	135.666	139.387	132.502	133.224	3900337	0	0
2022.08.01	133.196	139.073	130.395	138.954	4534688	0	0
2022.09.01	138.928	145.898	138.798	144.793	3743616	0	0
2022.10.01	144.596	151.945	143.524	148.756	3528651	0	0
2022.11.01	148.755	148.825	137.500	138.036	4204137	0	0
2022.12.01	138.030	138.173	130.567	131.109	2428122	0	0
2023.01.01	130.921	134.775	127.218	130.102	2214734	0	0
2023.02.01	130.067	136.918	128.080	136.217	2789149	0	0
2023.03.01	136.224	137.911	129.640	132.819	4042193	0	0
2023.04.01	133.312	136.562	130.629	136.278	2992036	0	0
2023.05.01	136.112	140.930	133.497	139.307	3286145	0	0
2023.06.01	139.328	145.069	138.433	144.297	2359926	0	0
2023.07.01	144.351	144.911	137.233	142.276	2518847	0	0
2023.08.01	142.287	147.375	141.510	145.522	2410224	0	0
2023.09.01	145.522	149.708	144.439	149.325	1614067	0	0
